timestamp,temperature.gpu,clocks.sm,clocks.mem,power.draw,memory.used,utilization.gpu,clocks_throttle_reasons.sw_thermal_slowdown,clocks_throttle_reasons.hw_thermal_slowdown,clocks_throttle_reasons.sw_power_cap
2026/09/22 08:36:51.470, 79, 510, 6000, 48.92, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:36:53.541, 80, 510, 6000, 53.51, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:36:55.599, 80, 510, 6000, 50.54, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:36:57.678, 80, 510, 6000, 50.08, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:36:59.741, 80, 510, 6000, 47.47, 7524, 93, Active, Not Active, Not Active
2026/09/22 08:37:01.833, 80, 510, 6000, 49.45, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:37:03.895, 80, 510, 6000, 53.41, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:37:05.953, 80, 510, 6000, 50.47, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:37:08.023, 80, 510, 6000, 48.22, 7524, 60, Active, Not Active, Not Active
2026/09/22 08:37:10.099, 80, 510, 6000, 46.35, 7524, 95, Active, Not Active, Not Active
2026/09/22 08:37:12.166, 80, 510, 6000, 49.11, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:37:14.220, 80, 510, 6000, 53.34, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:37:16.291, 80, 510, 6000, 50.42, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:37:18.357, 80, 510, 6000, 50.97, 7524, 83, Active, Not Active, Not Active
2026/09/22 08:37:20.416, 80, 510, 6000, 48.78, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:37:22.483, 80, 510, 6000, 49.36, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:37:24.546, 80, 510, 6000, 53.68, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:37:26.616, 80, 510, 6000, 49.52, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:37:28.675, 80, 510, 6000, 50.47, 7524, 75, Active, Not Active, Not Active
2026/09/22 08:37:30.746, 80, 510, 6000, 43.83, 7524, 93, Active, Not Active, Not Active
2026/09/22 08:37:32.812, 80, 510, 6000, 49.99, 7524, 97, Active, Not Active, Not Active
2026/09/22 08:37:34.866, 80, 510, 6000, 53.72, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:37:36.924, 80, 510, 6000, 49.44, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:37:38.987, 80, 510, 6000, 50.47, 7524, 83, Active, Not Active, Not Active
2026/09/22 08:37:41.046, 80, 510, 6000, 43.93, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:37:43.108, 80, 510, 6000, 49.23, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:37:45.163, 80, 540, 6000, 46.67, 7524, 94, Active, Not Active, Not Active
2026/09/22 08:37:47.217, 80, 510, 6000, 44.22, 7524, 96, Active, Not Active, Not Active
2026/09/22 08:37:49.283, 80, 510, 6000, 49.80, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:37:51.342, 80, 510, 6000, 53.89, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:37:53.411, 80, 510, 6000, 49.36, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:37:55.474, 81, 510, 6000, 53.65, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:37:57.541, 80, 510, 6000, 49.78, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:37:59.616, 80, 510, 6000, 49.56, 7524, 97, Active, Not Active, Not Active
2026/09/22 08:38:01.676, 81, 510, 6000, 53.84, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:38:03.736, 80, 510, 6000, 49.34, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:38:05.799, 80, 510, 6000, 44.70, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:38:07.859, 81, 510, 6000, 46.19, 7524, 94, Active, Not Active, Not Active
2026/09/22 08:38:09.908, 80, 510, 6000, 50.34, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:38:11.979, 80, 510, 6000, 37.79, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:38:14.028, 80, 510, 6000, 50.71, 7524, 93, Active, Not Active, Not Active
2026/09/22 08:38:16.107, 80, 510, 6000, 49.39, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:38:18.183, 81, 510, 6000, 53.87, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:38:20.253, 80, 510, 6000, 50.28, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:38:22.316, 80, 510, 6000, 49.27, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:38:24.387, 81, 510, 6000, 53.06, 7524, 97, Active, Not Active, Not Active
2026/09/22 08:38:26.504, 80, 510, 6000, 49.60, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:38:28.570, 81, 510, 6000, 53.75, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:38:30.641, 80, 510, 6000, 50.15, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:38:32.712, 80, 510, 6000, 48.94, 7524, 72, Active, Not Active, Not Active
2026/09/22 08:38:34.771, 80, 510, 6000, 44.21, 7524, 93, Active, Not Active, Not Active
2026/09/22 08:38:36.830, 81, 510, 6000, 49.35, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:38:38.905, 81, 510, 6000, 52.36, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:38:40.983, 80, 510, 6000, 49.64, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:38:43.058, 81, 510, 6000, 53.90, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:38:45.119, 80, 510, 6000, 49.33, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:38:47.170, 80, 510, 6000, 50.17, 7524, 97, Active, Not Active, Not Active
2026/09/22 08:38:49.241, 81, 510, 6000, 50.26, 7524, 97, Active, Not Active, Not Active
2026/09/22 08:38:51.303, 81, 510, 6000, 50.81, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:38:53.383, 81, 510, 6000, 53.77, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:38:55.445, 81, 510, 6000, 50.92, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:38:57.516, 81, 510, 6000, 54.00, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:38:59.580, 80, 510, 6000, 50.99, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:39:01.654, 81, 510, 6000, 50.18, 7524, 97, Active, Not Active, Not Active
2026/09/22 08:39:03.716, 81, 510, 6000, 54.15, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:39:05.770, 81, 510, 6000, 52.06, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:39:07.837, 81, 510, 6000, 54.12, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:39:09.906, 81, 510, 6000, 50.44, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:39:11.971, 81, 510, 6000, 51.11, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:39:14.038, 81, 510, 6000, 53.45, 7524, 94, Active, Not Active, Not Active
2026/09/22 08:39:16.108, 81, 510, 6000, 49.85, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:39:18.178, 81, 510, 6000, 53.90, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:39:20.262, 80, 510, 6000, 44.15, 7524, 97, Active, Not Active, Not Active
2026/09/22 08:39:22.341, 81, 510, 6000, 50.79, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:39:24.393, 81, 510, 6000, 54.03, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:39:26.479, 80, 510, 6000, 41.68, 7524, 88, Active, Not Active, Not Active
2026/09/22 08:39:28.537, 81, 510, 6000, 50.81, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:39:30.603, 81, 510, 6000, 53.91, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:39:32.659, 81, 510, 6000, 46.56, 7524, 92, Active, Not Active, Not Active
2026/09/22 08:39:34.728, 81, 510, 6000, 50.89, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:39:36.795, 81, 510, 6000, 54.07, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:39:38.861, 81, 510, 6000, 50.91, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:39:40.922, 81, 510, 6000, 50.84, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:39:42.970, 81, 510, 6000, 52.39, 7524, 98, Active, Not Active, Not Active
